customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0
5575-GNVDE,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0
3668-QPYBK,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1
7795-CFOCW,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0
9237-HQITU,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1
9305-CDSKC,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1
1452-KIOVK,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0
6713-OKOMC,0,0,0,10,0,1,1,0,0,0,0,0,0,29.75,301.9,0
7892-POOKP,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1
6388-TABGU,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0
9763-GRSKD,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0
7469-LKBCI,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0
8091-TTVAX,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0
0280-XJGEX,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1
5129-JLPIS,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0
3655-SNQYZ,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0
8191-XWSZG,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0
9959-WOFKT,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0
8779-QRDMV,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1
1680-VDCWW,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0
1066-JKSGK,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1
3638-WEABW,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0
6322-HRPFA,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0
6865-JZNKO,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0
6467-CHFZW,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1
8665-UTDHZ,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1
5248-YGIJN,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0
8773-HHUOZ,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1
3841-NFECX,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0
4929-XIHVW,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0
6827-IEAUQ,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0
7310-EGVHZ,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0
3413-BMNZE,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0
6234-RAAPL,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0
6047-YHPVI,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1
6572-ADKRS,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0
5380-WJKOV,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1
8168-UQWWF,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1
8865-TNMNX,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0
9489-DEDVP,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0
9867-JCZSP,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0
4671-VJLCL,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0
4080-IIARD,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0
3714-NTNFO,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,0
5948-UJZLF,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97,0
7760-OYPDY,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1
7639-LIAYI,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,0
2954-PIBKO,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,0
